Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1176    0.009    0.000    0.080    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:115(merge_options)
      392    0.009    0.000    2.328    0.006 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\function.py:2646(_maybe_define_function)
     4466    0.009    0.000    0.025    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:765(__init__)
     1242    0.009    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:368(_CanExtractAttrsFastPath)
     2537    0.008    0.000    0.011    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3325(_add_op)
     6592    0.008    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\object_identity.py:181(__init__)
       98    0.008    0.000    4.547    0.046 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\training.py:1869(predict)
      265    0.008    0.000    0.008    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteGraph}
     3184    0.008    0.000    0.008    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\context.py:955(_mode)
     2175    0.008    0.000    0.017    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\tf_decorator.py:61(make_decorator)
    11965    0.008    0.000    0.022    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\object_identity.py:202(update)
     5199    0.008    0.000    0.077    0.000 {built-in method tensorflow.python.util._pywrap_utils.FlattenForData}
7550/5767    0.008    0.000    0.033    0.000 {built-in method builtins.any}
    11430    0.008    0.000    0.042    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:355(flatten)
      590    0.008    0.000    0.181    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:1341(_get_defun_inputs)
     3154    0.008    0.000    0.022    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:4373(name_scope)
    23115    0.008    0.000    0.038    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\compat.py:115(as_str)
     3819    0.008    0.000    0.052    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:651(_pack_sequence_as)
     2394    0.008    0.000    0.026    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2474(inputs)
     1485    0.008    0.000    0.008    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\impl\conversion.py:37(<genexpr>)
      308    0.007    0.000    0.007    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewGraph}
    14972    0.007    0.000    0.008    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:5792(get_default)
     1242    0.007    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:394(_ExtractDefaultTypesAndAllowedTypes)
     2437    0.007    0.000    0.028    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:407(__init__)
     1242    0.007    0.000    0.052    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:725(_GetOpDef)
    14978    0.007    0.000    0.007    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\object_identity.py:218(__iter__)
     4345    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
