Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3781    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\traceable_stack.py:111(<genexpr>)
     3780    0.005    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\traceable_stack.py:109(peek_objs)
     3717    0.002    0.000    0.053    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:691(pack_sequence_as)
     3672    0.001    0.000    0.007    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\nest.py:912(<genexpr>)
     3667    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFDB8B559A0}
     3638    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3630(building_function)
     3635    0.002    0.000    0.003    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\op_def_registry.py:32(get)
     3494    0.001    0.000    1.122    0.000 {built-in method builtins.iter}
     3479    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
     3451    0.002    0.000    0.009    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:858(<listcomp>)
     3451    0.002    0.000    0.011    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:846(dims)
     3435    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_spec.py:207(_flat_tensor_specs)
     3375    0.003    0.000    0.003    0.000 {built-in method time.time}
     3347    0.001    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\pyct\anno.py:130(hasanno)
3341/1707    0.006    0.000    0.049    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\engine\base_layer.py:2858(__setattr__)
     3338    0.003    0.000    0.029    0.000 {built-in method _functools.reduce}
     3304    0.001    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\tf_decorator.py:107(_has_tf_decorator_attr)
     3290    0.002    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\tf_decorator.py:193(unwrap)
     3235    0.001    0.000    0.002    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:3288(_variable_creator_stack)
     3228    0.001    0.000    0.001    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\context.py:2011(context_switches)
     3223    0.003    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\six.py:604(iteritems)
3223/3197    0.001    0.000    0.003    0.000 {built-in method builtins.issubclass}
     3192    0.003    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:888(__getitem__)
